,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 1,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
"15
PARTAI KEADILAN DAN PERSATUAN INDONESIA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"Drs. SURADI, M.Par.",L,BANTUL
2,,,"PETRUS SOENARTO, S.E., M.Sc.",L,SLEMAN
3,,,LANI WULANDARI,P,KOTA YOGYAKARTA
,,,,,
,,,,,
,,,,,
,,,,,
"JUMLAH LAKI-LAKI: 2 JUMLAH PEREMPUAN: 1 PROSENTASE PEREMPUAN: 33,3%",,,,,
,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 3,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,SURYO PUTRO NUGROHO,L,BANTUL
2,,,"Drs. H. ALIYANTO, M.Pd.",L,BANTUL
3,,,AYU PUSPITA ARRY ROCHMA NIDICI,P,KOTA YOGYAKARTA
4,,,"R. SURYO HARDIHANDOYO, S.Sn.",L,BANTUL
5,,,"Drs. MAHIDIN ATIEN DESKY, S.H.",L,BANTUL
6,,,"RIRIN SULYANI, S.E., Akt.",P,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"2
PARTAI KEBANGKITAN BANGSA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,K.H. CHUDLORI AZ.,L,BANTUL
2,,,"UMARUDDIN MASDAR, S.Ag.",L,BANTUL
3,,,"SITI IFADAH, S.Ag.",P,BANTUL
4,,,JUMAKIR,L,BANTUL
5,,,ISTI MAFTUFAH,P,BANTUL
6,,,PANCA KURNIAWAN,L,BANTUL
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"3
PARTAI KEADILAN SEJAHTERA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"ARIF HARYANTO, S.Si.",L,BANTUL
2,,,ARIF RAHMAN HAKIM,L,BANTUL
3,,,"MAHMUDAH, AMK.",P,BANTUL
4,,,SARMUJI MULYONO,L,BANTUL
5,,,INDARTO,L,BANTUL
6,,,"NUR MUSLIHATUL AMANAH, S.Si.",P,SLEMAN
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 2 PROSENTASE PEREMPUAN: 33,3%",,,,,
"4
PARTAI DEMOKRASI INDONESIA PERJUANGAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"KPH. PURBODININGRAT, S.E., MBA.",L,KOTA YOGYAKARTA
